Rank,Country,GDP (nominal),GDP (nominal) per
,,(millions ofUS$),capita (US$)
1,Brazil,3.576.435,17.34
2,Mexico,1.250.000,9.921
3,Argentina,641,14.804
4,Colombia,358.163,8.564
5,Chile,219.2,12.253
6,Peru,239.217,7.361
7,Ecuador,108.401,6.278
8,Venezuela,80,801
9,Dominican Republic,56.995,11.399
10,Guatemala,89.758,4.977
11,Panama,48.5,11.772
12,Costa Rica,64.948,12.964
13,Uruguay,62.893,15.339
14,Bolivia,45.045,3.942
15,Paraguay,44.557,6.229
16,El Salvador,26.921,4.188
17,Honduras,24.496,2.866
18,Trinidad and Tobago,30.162,21.262
19,Jamaica,15.744,5.475
20,The Bahamas,13.654,35.861
21,Nicaragua,13.626,2.141
22,Haiti,10.055,894
23,Barbados,6.057,21.788
24,Suriname,4.11,6.882
25,Guyana,3.875,4.938
26,Belize,1.912,4.83
27,Saint Lucia,1.875,10.546
28,Antigua and Barbuda,1.612,17.476
29,Grenada,1.261,11.63
30,Saint Kitts and Nevis,1.362,24.021
31,Saint Vincent and the Grenadines,867,7.846
32,Dominica,539,7.625
